# out of simlation
1.393939393939393812e-07 2.419191919191919032e-13 1.978258237243906370e+00
1.393939393939393812e-07 2.515151515151515343e-13 1.899742099127710748e+00
1.393939393939393812e-07 2.611111111111111148e-13 1.828459962343611300e+00
1.393939393939393812e-07 2.707070707070706954e-13 1.761917959725699312e+00
1.393939393939393812e-07 2.803030303030303265e-13 1.701108473194560489e+00
1.393939393939393812e-07 2.898989898989899070e-13 1.643410562911792550e+00
1.393939393939393812e-07 2.994949494949494876e-13 1.590565961414177165e+00
1.393939393939393812e-07 3.090909090909090682e-13 1.540578989046428759e+00
1.393939393939393812e-07 3.186868686868686992e-13 1.493448773805231555e+00
1.393939393939393812e-07 3.282828282828282798e-13 1.449960864165349195e+00
1.393939393939393812e-07 3.378787878787878604e-13 1.408584008187243608e+00
1.393939393939393812e-07 3.474747474747474914e-13 1.369156702459882968e+00
1.393939393939393812e-07 3.570707070707070720e-13 1.332040227750737715e+00
1.393939393939393812e-07 3.666666666666666526e-13 1.296763661855901084e+00
1.393939393939393812e-07 3.762626262626262836e-13 1.264170688618321048e+00
1.393939393939393812e-07 3.858585858585858642e-13 1.232404731247987995e+00
1.393939393939393812e-07 3.954545454545454448e-13 1.202458607062149687e+00
1.393939393939393812e-07 4.050505050505050758e-13 1.173082780155917826e+00
1.393939393939393812e-07 4.146464646464646564e-13 1.146596415621284892e+00
1.393939393939393812e-07 4.242424242424242370e-13 1.119610039387873845e+00
1.393939393939393812e-07 4.338383838383838175e-13 1.095602278652379136e+00
1.393939393939393812e-07 4.434343434343434486e-13 1.071361502137830435e+00
1.393939393939393812e-07 4.530303030303030291e-13 1.049031686034840760e+00
1.393939393939393812e-07 4.626262626262626602e-13 1.027303606987706175e+00
1.393939393939393812e-07 4.722222222222222408e-13 1.005620538071139825e+00
1.393939393939393812e-07 4.818181818181818213e-13 9.853365900578257008e-01
1.393939393939393812e-07 4.914141414141414019e-13 9.665172563799862004e-01
1.393939393939393812e-07 5.010101010101010835e-13 9.480204228051798410e-01
1.393939393939393812e-07 5.106060606060606640e-13 9.298994328660746822e-01
1.393939393939393812e-07 5.202020202020202446e-13 9.130418794611494526e-01
1.393939393939393812e-07 5.297979797979798252e-13 8.965129253573730361e-01
1.393939393939393812e-07 5.393939393939394057e-13 8.803441084327587873e-01
1.393939393939393812e-07 5.489898989898989863e-13 8.646505169496268017e-01
1.393939393939393812e-07 5.585858585858585669e-13 8.498802038750719046e-01
1.393939393939393812e-07 5.681818181818181474e-13 8.356374780908270017e-01
1.393939393939393812e-07 5.777777777777778290e-13 8.214814686050817549e-01
1.393939393939393812e-07 5.873737373737374096e-13 8.084084065758855298e-01
1.393939393939393812e-07 5.969696969696969901e-13 7.955893918393117659e-01
1.393939393939393812e-07 6.065656565656565707e-13 7.829915766930375387e-01
1.393939393939393812e-07 6.161616161616161513e-13 7.707239916103859612e-01
1.393939393939393812e-07 6.257575757575757318e-13 7.586354891762406849e-01
1.393939393939393812e-07 6.353535353535354134e-13 7.473468479423363009e-01
1.393939393939393812e-07 6.449494949494949939e-13 7.358838036938217808e-01
1.393939393939393812e-07 6.545454545454545745e-13 7.256552920444745425e-01
1.393939393939393812e-07 6.641414141414141551e-13 7.150527109793139990e-01
1.393939393939393812e-07 6.737373737373737357e-13 7.048972930898207423e-01
1.393939393939393812e-07 6.833333333333333162e-13 6.946653406861369451e-01
1.393939393939393812e-07 6.929292929292928968e-13 6.852383046226109276e-01
1.393939393939393812e-07 7.025252525252525783e-13 6.758747508447102703e-01
1.393939393939393812e-07 7.121212121212121589e-13 6.667179728868477540e-01
1.393939393939393812e-07 7.217171717171717395e-13 6.581461646866946236e-01
1.393939393939393812e-07 7.313131313131313200e-13 6.494309359981176311e-01
1.393939393939393812e-07 7.409090909090909006e-13 6.408541202438364781e-01
1.393939393939393812e-07 7.505050505050504812e-13 6.328941051161603992e-01
1.393939393939393812e-07 7.601010101010101627e-13 6.246493484930647488e-01
1.393939393939393812e-07 7.696969696969697433e-13 6.170175692763023578e-01
1.393939393939393812e-07 7.792929292929293239e-13 6.095018742328353056e-01
1.393939393939393812e-07 7.888888888888889044e-13 6.021244641975932455e-01
1.393939393939393812e-07 7.984848484848484850e-13 5.948924870533670584e-01
1.393939393939393812e-07 8.080808080808080656e-13 5.878002221932269178e-01
1.393939393939393812e-07 8.176767676767676461e-13 5.808310384094690360e-01
